,STATE,NAME,geometry
30290,FL,"walmart, wal-mart",POINT (-82.6153257 27.4602204)
30291,FL,walgreens,POINT (-82.5964957 27.4484814)
30292,FL,walgreens,POINT (-82.5883462 27.4629265)
30295,FL,"walmart, wal-mart",POINT (-82.7184621 28.2833925)
30296,FL,cvs,POINT (-81.8858975 29.62726)
30297,FL,cvs,POINT (-82.6933952 28.2177337)
30298,FL,cvs,POINT (-82.6252491 28.2724317)
30299,FL,cvs,POINT (-82.6976921 28.1779302)
30300,FL,cvs,POINT (-82.2136753 28.2290441)
30301,FL,cvs,POINT (-82.6670682 28.3587396)
30303,FL,walgreens,POINT (-82.3524004 26.9615562)
30306,FL,"walmart, wal-mart",POINT (-82.4860945 27.1930448)
30312,FL,walgreens,POINT (-82.5315421 27.3196715)
30314,FL,"walmart, wal-mart",POINT (-82.4558063 29.063266)
30315,FL,walgreens,POINT (-82.398357 28.1910579)
30319,FL,cvs,POINT (-82.5135125 27.2697363)
30323,FL,walgreens,POINT (-82.4983116 27.3368868)
30328,FL,cvs,POINT (-82.0461016 28.8477218)
30329,FL,cvs,POINT (-82.0164594 28.9278697)
30334,FL,cvs,POINT (-84.3728633 30.1921234)
30340,FL,cvs,POINT (-82.492559 27.9662586)
30341,FL,cvs,POINT (-82.5624058 27.9972998)
30342,FL,cvs,POINT (-82.6313235 28.0694203)
30343,FL,cvs,POINT (-82.512965 27.9269972)
30349,FL,walgreens,POINT (-82.5822624 27.9960728)
30353,FL,cvs,POINT (-82.5050368 28.0506984)
30358,FL,walgreens,POINT (-82.4669285 28.0687907)
30360,FL,walgreens,POINT (-82.5128364 27.9967543)
30361,FL,walgreens,POINT (-82.5776773 28.0795159)
30362,FL,"walmart, wal-mart",POINT (-82.3012842 27.9840878)
30363,FL,"walmart, wal-mart",POINT (-82.2702739 27.8908525)
30366,FL,walgreens,POINT (-82.5028919 28.0944058)
30367,FL,walgreens,POINT (-82.3511088 27.7130073)
30369,FL,walgreens,POINT (-82.2516211 27.9384721)
30370,FL,"walmart, wal-mart",POINT (-82.3253611 27.9254135)
30378,FL,"walmart, wal-mart",POINT (-82.428199 28.0681378)
30379,FL,"walmart, wal-mart",POINT (-82.5589935 28.026834)
30381,FL,"walmart, wal-mart",POINT (-82.5026493 28.0857824)
30383,FL,cvs,POINT (-82.6801767 27.7924292)
30384,FL,cvs,POINT (-82.7373889 27.8397934)
30385,FL,cvs,POINT (-82.7279259 27.8205198)
30386,FL,cvs,POINT (-82.7391458 27.7230454)
30387,FL,walgreens,POINT (-82.7290011 27.8400871)
30388,FL,walgreens,POINT (-82.6471638 27.7489581)
30389,FL,walgreens,POINT (-82.7499144 27.7435466)
30390,FL,walgreens,POINT (-82.756086 28.1408468)
30394,FL,"walmart, wal-mart",POINT (-82.1663951 29.1577946)
30398,FL,cvs,POINT (-82.7323724 27.9896886)
